date,capital,monthly_return
2024-01-31,9940.0,
2024-02-29,10322.747389352313,0.03850577357669137
2024-03-29,10368.588686218767,0.004923167020303747
2024-04-30,10662.115292217193,0.028926570907233006
2024-05-31,10921.158006825042,0.025033645450795818
2024-06-28,10919.268365898744,0.000962790686689057
2024-07-31,11169.818501123158,0.02435930476722488
2024-08-30,10989.589095570373,-0.014775783070197609
2024-09-30,12147.49454965058,0.10616028877961355
2024-10-31,11907.654347543079,-0.019009063174749923
2024-11-29,12288.229787576705,0.03258011972818062
2024-12-31,13251.506521805313,0.07923199636207555
2024-12-31,13229.343783543154,-0.0008331691942434763
