ann_return,ann_vol,sharpe,max_dd,win_rate,cum_return,avg_turnover,avg_hhi,max_ind_pct,perf,constraint
26.69,25.84,0.96,-13.87,0.562,3.011459160171777,0.284,1.0,100.0,"         date    return  gross_return  ...  top_industry  top_ind_pct  cum_return
0  2021-01-29  0.102891      0.108891  ...            未知          1.0    1.102891
1  2021-02-26 -0.020378     -0.019378  ...            未知          1.0    1.080416
2  2021-03-31  0.015002      0.018002  ...            未知          1.0    1.096624
3  2021-04-30  0.214837      0.219837  ...            未知          1.0    1.332220
4  2021-05-31  0.277881      0.278881  ...            未知          1.0    1.702419
..        ...       ...           ...  ...           ...          ...         ...
59 2025-12-31  0.018698      0.018698  ...            未知          1.0    3.304996
60 2026-01-30  0.012793      0.012793  ...            未知          1.0    3.347278
61 2026-02-27 -0.092022     -0.092022  ...            未知          1.0    3.039255
62 2026-03-31  0.036740      0.036740  ...            未知          1.0    3.150918
63 2026-04-30 -0.044260     -0.039260  ...            未知          1.0    3.011459

[64 rows x 9 columns]",单行业≤20%
23.5,24.0,0.9,-13.51,0.578,2.6822646943078086,0.272,1.0,100.0,"         date    return  gross_return  ...  top_industry  top_ind_pct  cum_return
0  2021-01-29  0.086448      0.092448  ...            未知          1.0    1.086448
1  2021-02-26  0.004854      0.005711  ...            未知          1.0    1.091722
2  2021-03-31  0.005847      0.009275  ...            未知          1.0    1.098105
3  2021-04-30  0.210253      0.215396  ...            未知          1.0    1.328984
4  2021-05-31  0.234991      0.236705  ...            未知          1.0    1.641284
..        ...       ...           ...  ...           ...          ...         ...
59 2025-12-31  0.004779      0.004779  ...            未知          1.0    2.897212
60 2026-01-30  0.020734      0.020734  ...            未知          1.0    2.957282
61 2026-02-27 -0.077098     -0.077098  ...            未知          1.0    2.729281
62 2026-03-31  0.027301      0.028158  ...            未知          1.0    2.803794
63 2026-04-30 -0.043345     -0.038202  ...            未知          1.0    2.682265

[64 rows x 9 columns]",单行业≤25%
22.44,22.17,0.92,-12.81,0.547,2.6143814370206857,0.266,1.0,100.0,"         date    return  gross_return  ...  top_industry  top_ind_pct  cum_return
0  2021-01-29  0.069087      0.075087  ...            未知          1.0    1.069087
1  2021-02-26  0.010640      0.010640  ...            未知          1.0    1.080463
2  2021-03-31 -0.003595     -0.000929  ...            未知          1.0    1.076578
3  2021-04-30  0.181714      0.186380  ...            未知          1.0    1.272207
4  2021-05-31  0.179523      0.180190  ...            未知          1.0    1.500597
..        ...       ...           ...  ...           ...          ...         ...
59 2025-12-31 -0.021269     -0.021269  ...            未知          1.0    2.782467
60 2026-01-30  0.012839      0.012839  ...            未知          1.0    2.818190
61 2026-02-27 -0.044960     -0.044293  ...            未知          1.0    2.691484
62 2026-03-31  0.017003      0.019003  ...            未知          1.0    2.737247
63 2026-04-30 -0.044886     -0.039553  ...            未知          1.0    2.614381

[64 rows x 9 columns]",单行业≤30%
18.71,17.03,0.98,-10.26,0.594,2.3250969547525653,0.185,1.0,100.0,"         date    return  gross_return  ...  top_industry  top_ind_pct  cum_return
0  2021-01-29  0.060523      0.066523  ...            未知          1.0    1.060523
1  2021-02-26  0.037684      0.038084  ...            未知          1.0    1.100488
2  2021-03-31 -0.010326     -0.009126  ...            未知          1.0    1.089124
3  2021-04-30  0.087730      0.091130  ...            未知          1.0    1.184673
4  2021-05-31  0.029781      0.030381  ...            未知          1.0    1.219954
..        ...       ...           ...  ...           ...          ...         ...
59 2025-12-31 -0.027094     -0.026694  ...            未知          1.0    2.474500
60 2026-01-30  0.004460      0.005060  ...            未知          1.0    2.485535
61 2026-02-27 -0.023201     -0.022801  ...            未知          1.0    2.427868
62 2026-03-31  0.005996      0.007396  ...            未知          1.0    2.442425
63 2026-04-30 -0.048037     -0.044837  ...            未知          1.0    2.325097

[64 rows x 9 columns]",无约束
