code,name,weight,price,amount,shares
600893,航发动力,0.09999999999999845,45.81,999.9999999999845,0
600919,江苏银行,0.09999999999999845,11.13,999.9999999999845,0
601398,工商银行,0.09999999999999845,7.18,999.9999999999845,100
601288,农业银行,0.09999999999999845,6.46,999.9999999999845,100
601939,建设银行,0.09999999999999845,10.1,999.9999999999845,0
600010,包钢股份,0.09999999999999827,2.53,999.9999999999827,300
601077,渝农商行,0.09999999999999792,6.83,999.9999999999792,100
000100,TCL科技,0.0723500149554989,4.38,723.5001495549891,100
601838,成都银行,0.017649985044515325,18.54,176.49985044515324,0
601998,中信银行,0.010000000000000255,7.75,100.00000000000256,0
601009,南京银行,0.00999999999999993,10.84,99.9999999999993,0
600760,中航沈飞,0.009999999999999844,45.44,99.99999999999844,0
600061,国投资本,0.009999999999999844,6.35,99.99999999999844,0
601916,浙商银行,0.009999999999999844,2.97,99.99999999999844,0
603260,合盛硅业,0.009999999999999844,40.65,99.99999999999844,0
601881,中国银河,0.009999999999999844,12.13,99.99999999999844,0
601658,邮储银行,0.009999999999999844,4.94,99.99999999999844,0
601456,国联民生,0.009999999999999844,9.07,99.99999999999844,0
600104,上汽集团,0.009999999999999844,12.48,99.99999999999844,0
600048,保利发展,0.009999999999999844,5.82,99.99999999999844,0
601169,北京银行,0.009999999999999844,5.1,99.99999999999844,0
600918,中泰证券,0.009999999999999844,5.64,99.99999999999844,0
601377,兴业证券,0.009999999999999844,5.82,99.99999999999844,0
601236,红塔证券,0.009999999999999844,7.0,99.99999999999844,0
601628,中国人寿,0.009999999999999844,33.82,99.99999999999844,0
601878,浙商证券,0.009999999999999844,9.42,99.99999999999844,0
601066,中信建投,0.009999999999999844,22.0,99.99999999999844,0
601211,国泰海通,0.009999999999999844,15.03,99.99999999999844,0
600000,浦发银行,0.009999999999999844,8.96,99.99999999999844,0
601601,中国太保,0.009999999999999844,32.85,99.99999999999844,0
